bench;WIRES;caminho crítico;channels;Tplacement
_r__sqrt_k6_0;407381;1010,22;52;
_r__sin_k6_0;121203;48,9572;54;
_r__d_5_w_f_4_q_False_arg_False_style_mux_0;798997;29,4045;86;
_r__square_k6_0;319264;42,688;54;
_r__voter_k6_0;151312;23,5783;64;
_r__d_5_w_f_4_q_False_arg_True_style_mux_0;834151;40,012;88;
_r__d_4_w_f_4_q_False_arg_True_style_mux_0;516988;35,1488;78;
_r__jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_False_arg_True_style_mux_0;239340;33,3565;56;
_r__log2_k6_0;869824;121,149;78;
