bench;WIRES;caminho crítico;channels;Tplacement
_r__sqrt_k6_0;451568;1103,75;64;
_r__sin_k6_0;125782;46,0409;54;
_r__d_5_w_f_4_q_False_arg_False_style_mux_0;828699;30,9835;90;
_r__square_k6_0;332461;46,7212;60;
_r__voter_k6_0;158935;24,975;66;
_r__d_5_w_f_4_q_False_arg_True_style_mux_0;889834;49,0267;92;
_r__d_4_w_f_4_q_False_arg_True_style_mux_0;542246;38,9516;78;
_r__jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_False_arg_True_style_mux_0;257406;38,4238;60;
_r__log2_k6_0;888735;123,247;78;
