bench;WIRES;caminho crítico;channels;Tplacement
bounding_box_jsc_tree_10_eta_0.3_max_d_5_w_feature_8_w_tree_2_quat_False_arg_False_style_mux;52098;12,1208;38;1,91
criticality_timing_jsc_tree_10_eta_0.3_max_d_5_w_feature_8_w_tree_2_quat_False_arg_False_style_mux;53514;12,5945;36;2,68
criticality_timing_jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_True_arg_True_style_equation;1268338;80,3837;44;612,09
bounding_box_jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_True_arg_True_style_equation;1366357;88,1054;38;429,58
