bench;WIRES;caminho crítico;channels;Tplacement
_r__sqrt_k6_0;443686;1088,21;58;
_r__sin_k6_0;124066;48,7709;54;
_r__d_5_w_f_4_q_False_arg_False_style_mux_0;806397;30,9466;90;
_r__square_k6_0;329510;44,8603;60;
_r__voter_k6_0;167946;22,7786;74;
_r__d_5_w_f_4_q_False_arg_True_style_mux_0;883380;47,5441;92;
_r__d_4_w_f_4_q_False_arg_True_style_mux_0;546747;42,1698;80;
_r__jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_False_arg_True_style_mux_0;254975;34,2399;58;
_r__log2_k6_0;933322;129,318;78;
