bench;WIRES;caminho crítico;channels;Tplacement
_r__sqrt_k6_0;386736;968,722;52;
_r__sin_k6_0;124100;52,5213;50;
_r__d_5_w_f_4_q_False_arg_False_style_mux_0;795188;34,1846;86;
_r__square_k6_0;321676;39,8658;54;
_r__voter_k6_0;144913;21,5934;62;
_r__d_5_w_f_4_q_False_arg_True_style_mux_0;847042;40,682;86;
_r__d_4_w_f_4_q_False_arg_True_style_mux_0;497374;33,8364;78;
_r__jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_False_arg_True_style_mux_0;235903;31,9024;56;
_r__log2_k6_0;867564;117,281;74;
