bench;WIRES;caminho crítico;channels;Tplacement
_r__sqrt_k6_0;384086;969,502;56;
_r__sin_k6_0;120062;47,042;52;
_r__d_5_w_f_4_q_False_arg_False_style_mux_0;807891;31,841;86;
_r__square_k6_0;314537;39,5886;56;
_r__voter_k6_0;151704;22,9398;64;
_r__d_5_w_f_4_q_False_arg_True_style_mux_0;835179;43,0221;88;
_r__d_4_w_f_4_q_False_arg_True_style_mux_0;507233;33,1954;78;
_r__jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_False_arg_True_style_mux_0;244838;35,9307;58;
_r__log2_k6_0;896408;119,928;78;
